SETTLEMENTDATE,TOTALDEMAND,RRP
2019-05-04,7174.712291666667,73.82979166666668
2019-05-05,7028.963124999999,68.46333333333332
2019-05-06,7671.147708333334,72.03229166666665
2019-05-07,7853.8960416666705,70.56708333333334
2019-05-08,7870.726041666664,79.32874999999999
2019-05-09,8051.077916666668,93.01437500000002
2019-05-10,8336.24020833333,84.61416666666668
2019-05-11,7593.8779166666645,68.59895833333333
2019-05-12,7409.0631250000015,71.98875
2019-05-13,8016.82375,75.40208333333335
2019-05-14,8000.702499999999,83.84104166666667
2019-05-15,8044.676666666666,94.35895833333335
2019-05-16,8065.659583333333,90.90062499999998
2019-05-17,7896.699375000001,91.39562500000001
2019-05-18,7350.756874999998,76.74312500000002
2019-05-19,7230.898958333335,63.61041666666666
2019-05-20,7932.155833333335,80.87229166666667
2019-05-21,7804.447916666667,73.19562500000002
2019-05-22,7892.237708333333,91.121875
2019-05-23,7852.810208333333,84.31541666666669
2019-05-24,7813.694374999999,87.11729166666665
2019-05-25,7239.125000000001,70.23749999999998
2019-05-26,7074.215833333335,64.54812500000001
2019-05-27,8349.442291666668,78.43666666666668
2019-05-28,8599.747083333334,73.58916666666666
2019-05-29,8512.506041666666,79.99208333333334
2019-05-30,8860.525416666665,83.96000000000002
2019-05-31,8955.167083333336,90.00750000000001
2019-06-01,8234.483541666666,105.98104166666663
2019-06-02,7926.694999999999,103.64916666666664
2019-06-03,8707.867916666664,111.45520833333336
2019-06-04,9603.090416666666,161.20208333333332
2019-06-05,9385.706041666668,146.30458333333334
2019-06-06,9095.372291666668,151.94333333333338
2019-06-07,8949.678541666664,136.31979166666667
2019-06-08,8512.88125,115.63937500000002
2019-06-09,7557.313958333332,72.85000000000001
2019-06-10,7465.607916666665,70.19083333333333
2019-06-11,8137.343124999999,77.63229166666666
2019-06-12,8207.328333333333,84.918125
2019-06-13,8097.614791666667,73.83583333333335
2019-06-14,8368.469583333332,80.60583333333334
2019-06-15,8047.323333333334,91.1829166666667
2019-06-16,8206.898333333333,99.53708333333331
2019-06-17,8823.052083333334,93.91458333333328
2019-06-18,8718.085625000002,75.37500000000001
2019-06-19,8877.782708333334,99.44666666666666
2019-06-20,9436.346041666666,90.53395833333336
2019-06-21,9521.077916666667,88.94208333333334
2019-06-22,9129.189166666665,73.398125
2019-06-23,8922.802708333335,78.99166666666669
2019-06-24,9450.488958333333,79.75645833333333
2019-06-25,9176.110625,83.63479166666666
2019-06-26,8971.119375,69.905625
2019-06-27,8848.237708333334,64.05208333333334
2019-06-28,8634.058541666664,58.26625000000001
2019-06-29,8028.572916666667,50.75854166666667
2019-06-30,7799.4352083333315,49.15166666666668
2019-07-01,9036.876041666668,69.91479166666669
2019-07-02,9068.512083333337,79.65333333333335
2019-07-03,9100.860416666665,75.33770833333334
2019-07-04,8892.432500000003,71.20854166666665
2019-07-05,8701.285833333332,71.00708333333333
2019-07-06,8018.945624999998,62.665833333333346
2019-07-07,7879.879166666667,62.77895833333332
2019-07-08,8515.806875,79.61791666666664
2019-07-09,8668.648124999998,92.84770833333334
2019-07-10,8872.203541666666,89.08083333333332
2019-07-11,8703.015833333333,68.89
2019-07-12,8510.931874999998,72.66145833333333
2019-07-13,8241.474375,68.58708333333335
2019-07-14,8390.102916666667,66.36895833333332
2019-07-15,8834.033333333333,70.336875
2019-07-16,8896.82208333333,91.48416666666668
2019-07-17,8673.696041666668,70.45833333333334
2019-07-18,8654.789375,62.93395833333333
2019-07-19,8759.939583333331,74.58958333333335
2019-07-20,8181.152083333333,61.673541666666644
2019-07-21,7711.1518750000005,57.20624999999999
2019-07-22,8379.372916666667,69.29312499999999
2019-07-23,8260.644583333336,60.913541666666646
2019-07-24,8374.065833333334,63.37500000000001
2019-07-25,8776.686874999998,70.61979166666664
